1-time		2-纬度L		3-经度λ		4-高度h		5-velocity_x		6-velocity_y		7-velocity_z		
1.270000000		0.523838121		1.745326932		1006.952345103		1200.083580967		0.179316891		-0.030252940		
1.280000000		0.523841004		1.745330276		982.988719375		1199.995716429		-0.167640705		0.077260865		
1.290000000		0.523841681		1.745332760		996.515188502		1199.977652453		0.023170920		-0.045053180		
1.300000000		0.523842472		1.745328059		1007.702622508		1199.911041251		-0.150922921		0.040968092		
1.310000000		0.523845815		1.745328565		992.188903594		1200.028052639		-0.026201490		0.087762715		
1.320000000		0.523846713		1.745330053		1000.511025084		1199.956876435		0.092195406		0.017592662		
1.330000000		0.523849742		1.745328933		984.572549904		1200.019682869		-0.043635526		-0.037318659		
1.340000000		0.523853423		1.745329601		991.370033026		1199.965784822		-0.137639501		0.172462497		
1.350000000		0.523848680		1.745326614		996.484218439		1199.889238269		0.009990019		0.034344887		
1.360000000		0.523853484		1.745327888		1004.461799305		1200.113683637		-0.027309132		-0.073802366		
1.370000000		0.523856783		1.745329249		1000.474483056		1200.081607473		-0.134080636		0.218187179		
1.380000000		0.523860231		1.745327443		1020.271193137		1199.859733879		-0.168760453		0.031370439		
1.390000000		0.523861040		1.745326888		1025.790345010		1200.040804631		0.050702174		-0.155653723		
1.400000000		0.523865249		1.745328486		1025.387106515		1199.982869005		0.155104552		-0.045996131		
1.410000000		0.523864860		1.745327721		1015.874748990		1199.950561229		0.045667190		0.102967905		
1.420000000		0.523865593		1.745325842		986.454560521		1200.008783498		-0.075330707		-0.027053387		
1.430000000		0.523869527		1.745330438		1000.176383022		1200.003378852		0.052951762		-0.057001441		
1.440000000		0.523870280		1.745327816		990.599964005		1199.832908918		-0.020452437		0.050654746		
1.450000000		0.523874277		1.745330791		995.220802692		1199.947179209		0.080520685		0.136325035		
1.460000000		0.523874864		1.745331858		1009.360641231		1200.001251676		0.090126023		0.146272723		
1.470000000		0.523879200		1.745328459		1005.635836249		1199.998217403		-0.237319299		-0.032941289		
1.480000000		0.523876741		1.745331904		1000.816285094		1199.950176743		0.028836767		0.048939613		
1.490000000		0.523882779		1.745327273		985.119827159		1199.939369024		0.081477874		-0.183903351		
1.500000000		0.523882904		1.745327952		1007.469500433		1199.969667686		0.100978792		0.021691329		
1.510000000		0.523885755		1.745330474		990.663499289		1199.958968445		-0.057791369		-0.130956032		
1.520000000		0.523886437		1.745331425		1019.148452441		1200.131333206		-0.018971999		0.008691727		
1.530000000		0.523887447		1.745329052		996.964133102		1199.961061661		-0.160130805		-0.018217512		
